culture, macrogroup
boorong, australia
india, asia
indomalay, asia
chinese_stellarium, asia
arabic_moon_stations_stellarium, asia
marshall, oceania
anutan_stellarium, oceania
vanuatu_netwar_stellarium, oceania
maori_stellarium, oceania
tongan_stellarium, oceania
dakota_stellarium, nthamerica
inuit_stellarium, nthamerica
navajo_stellarium, nthamerica
ojibwe_stellarium, nthamerica
lokono_stellarium, sthamerica
pacariqtambo, sthamerica
tukano_stellarium, sthamerica
tupi_stellarium, sthamerica
western_stellarium, western
belarusian_stellarium, western
macedonian_stellarium, western
romanian_stellarium, western
sami_stellarium, western
siberian_stellarium, western
norse_stellarium, western
egyptian_stellarium, western
mulapin_stellarium, western
