model,scorefn,score
model_knn,F,0.05872394852716706
model_knn_thresh,F,0.11549416082339112
model_n,F,0.2007380086118412
model_onebig,F,0.0
model_singleton,F,0.08287710052594735
model_n_nobright,F,0.07432134918537166
model_n_nodistance,F,0.05685342601837956
model_n_nodilation,F,0.19375002069651714
model_knn,F10,0.27657816959751286
model_knn_thresh,F10,0.344686767019368
model_n,F10,0.3752996636096295
model_onebig,F10,0.0
model_singleton,F10,0.2227382368872219
model_n_nobright,F10,0.27841031593263543
model_n_nodistance,F10,0.07023453553399055
model_n_nodilation,F10,0.29067773832211125
model_knn,adj_rand,0.01028584918489381
model_knn_thresh,adj_rand,0.18816335965381245
model_n,adj_rand,0.23984304533181927
model_onebig,adj_rand,0.1762861222732397
model_singleton,adj_rand,0.19000528615451717
model_n_nobright,adj_rand,0.06427658961651168
model_n_nodistance,adj_rand,0.19622841754988973
model_n_nodilation,adj_rand,0.21947431500029507
model_code_13,F,0.10433036008270011
model_code_13,F10,0.2872354233513516
model_code_13,adj_rand,0.19096555138924265
