index,cluster,mmscore
0,"(1089, 1058, 1062, 1068, 1076, 1055)",0.7340740740740741
1,"(1738, 1699, 1780)",0.6366478428978429
2,"(1089, 1058, 1068, 1076, 1055)",0.702716049382716
3,"(1347, 1267, 1301, 1303, 1241)",0.5183256172839507
4,"(4579, 4701, 3880, 3886, 4123, 4221, 4446)",0.467910477322242
5,"(1089, 1062, 1068, 1076, 1055)",0.6308641975308642
6,"(1089, 1058, 1068, 1055)",0.5806172839506173
7,"(1282, 1347, 1267, 1301, 1303, 1241)",0.4316203703703704
8,"(1738, 1699, 1580, 1780)",0.46375075541742206
9,"(1738, 1699)",0.43677757427757424
10,"(1089, 1068, 1055)",0.4774074074074074
11,"(4579, 4221, 4123, 4701, 4446)",0.3532693885635062
12,"(4400, 4217, 4315, 4285)",0.3979689366786141
13,"(1241, 1267, 1301)",0.35247685185185185
14,"(4579, 4701, 3880, 3886, 5204, 5047, 4123, 4221, 4446)",0.33850748380160145
15,"(5216, 5256, 5398, 5305, 5244)",0.26969862018881624
16,"(2612, 2695)",0.2828003423591659
17,"(1699, 1738, 1644, 1780, 1880)",0.3405330009496676
18,"(4400, 4440, 4217, 4315, 4285)",0.31514336917562724
19,"(1699, 1733, 1735, 1738, 1780)",0.3529035779035779
20,"(4579, 4701, 3880, 3886, 2995, 3507, 4087, 3385, 4123, 4221, 4446)",0.24726961491667374
21,"(1699, 1734, 1735, 1738, 1780)",0.40263902763902765
22,"(494, 366, 239, 19, 152)",0.21976702718124286
23,"(7128, 7169, 7188, 7150)",0.3541951566951567
24,"(7169, 7150, 7188, 7128, 7101)",0.37372685185185184
25,"(1282, 1347, 1287, 1267, 1301, 1143, 1241, 1303)",0.2551234567901235
26,"(4579, 4701, 4454, 3880, 3886, 4795, 3385, 4123, 4221, 4446, 3423)",0.23419771949183713
27,"(1699, 1829, 1738, 1644, 1580, 1780, 1880)",0.24377882919549587
28,"(1738, 1764, 1780)",0.24754342879342878
29,"(152, 19, 366, 239)",0.18484139952277207
30,"(198, 366, 239, 494, 19, 152)",0.19437298993671542
31,"(1699, 1829, 1644, 1580, 1780, 1880)",0.21187593270926602
32,"(4772, 4400, 4950, 4217, 4315, 4285)",0.22385219320703192
33,"(1699, 1829, 1738, 1644, 1580, 1780)",0.20922241338908004
34,"(504, 497, 563)",0.2101851851851852
35,"(6803, 6870, 6830)",0.21613544634377968
36,"(4772, 4950)",0.3402777777777778
37,"(1699, 1738, 1642, 1644, 1580, 1780, 1880)",0.2197978718812052
38,"(6570, 6566, 6542)",0.3322751322751323
39,"(385, 5355, 5739, 6159, 5204, 5047)",0.1482804232804233
40,"(1699, 1829, 1644, 1580, 1780, 1880, 1724)",0.19208129833129833
41,"(504, 497, 563, 766)",0.170679012345679
42,"(3880, 3886)",0.19106966018730723
43,"(5433, 5395, 5404)",0.2198322992399443
44,"(152, 19, 239)",0.16727688297541238
45,"(366, 239, 494, 115, 19, 311, 152)",0.1479316448801743
46,"(385, 259, 5355, 5739, 6159, 5204, 5047)",0.13996913580246914
47,"(5395, 5433, 5379, 5404)",0.2088277508759216
48,"(7953, 7958)",0.2077126577126577
49,"(5907, 5924)",0.20089285714285715
50,"(6006, 5907, 5924, 5974)",0.2058059201168992
51,"(3523, 3588, 3493, 3594, 3661, 3637)",0.17057880391213726
52,"(2612, 2581, 2695)",0.1691779489573607
53,"(4192, 4337, 4309, 4185, 4222)",0.1548996913580247
54,"(5568, 5523, 5395, 5433, 5404)",0.18103396014474113
55,"(34, 13)",0.19104599104599104
56,"(6803, 6830)",0.17281774295663185
57,"(4192, 4326, 4337, 4309, 4185, 4222)",0.1439814814814815
58,"(5568, 5668, 5694, 5674, 5523, 5395, 5433, 5404, 5598)",0.15795672946397837
59,"(5568, 5379, 5395, 5523, 5433, 5404, 5598)",0.1639839591407553
60,"(6881, 7049, 6709, 6806, 7189, 7166)",0.1318613485280152
61,"(7049, 7189, 6709, 6806, 7166)",0.12745330800886356
62,"(504, 563, 766)",0.1273148148148148
63,"(2657, 1347, 1699, 1829, 1738, 1644, 1580, 1780, 1880, 1724)",0.15283713200379867
64,"(5792, 5668, 5924, 5674, 5907, 5974, 6006, 5948, 5694)",0.16329340359016362
65,"(5568, 5523, 5598)",0.17413496643476836
66,"(5792, 5668, 5924, 5674, 5907, 5974, 6006, 5948)",0.16436941980235698
67,"(6570, 6258, 6566, 6542)",0.24235008818342152
68,"(504, 497)",0.1580246913580247
69,"(5568, 5379, 5668, 5694, 5674, 5395, 5433, 5404, 5598)",0.14959984869997686
70,"(6468, 6437, 6502, 6348, 6399)",0.09320987654320988
71,"(3523, 3588, 3493, 3661, 3637)",0.14783082144193255
72,"(5360, 5433, 5395, 5404)",0.17065617334950536
73,"(1699, 1733, 1734, 1735, 1738, 1780)",0.26194684944684943
74,"(5924, 5907, 5909, 5974, 6006, 5948)",0.16821631438213214
75,"(3936, 3938, 3523, 3588, 3493, 4103, 3594, 3661, 3637)",0.10448833573833574
76,"(7953, 34, 13, 7958)",0.13209198209198209
77,"(7489, 7010, 7303, 7177, 7530, 7219, 7030, 7384, 7419)",0.07921810699588477
78,"(5379, 5395, 5433, 5404, 5469)",0.1518871539829711
79,"(5568, 5792, 5668, 5924, 5948, 5674, 5395, 5974, 6006, 5433, 5404, 5598)",0.12224707357347425
80,"(385, 259, 5739, 5355, 6159)",0.11276455026455026
81,"(1347, 1699, 1738, 1267, 1780, 1301, 1303, 1241, 1055)",0.13474537037037038
82,"(3661, 3594, 3588, 3637)",0.1334161723050612
83,"(7489, 7303, 7177, 7530, 7219, 7030, 7384, 7419)",0.07304526748971193
84,"(1699, 1764, 1733, 1735, 1738, 1642, 1780)",0.15843755010421678
85,"(6881, 7518, 7335, 7049, 6709, 6806, 6711, 7189, 7166)",0.10698005698005697
86,"(7489, 7010, 7177, 7530, 7308, 7219, 7030, 7384, 7419)",0.07047325102880658
87,"(1721, 1724, 1741)",0.15163283475783476
88,"(1738, 1733, 1734, 1735)",0.19041606541606543
89,"(1880, 1644)",0.13556064306064305
90,"(5792, 5668, 5674, 5948, 5694)",0.12258007606585705
91,"(6468, 6437, 6502)",0.09012345679012346
92,"(4514, 4291, 4501)",0.09223251028806584
93,"(6468, 6437, 6502, 6348, 6397, 6399)",0.0654320987654321
94,"(7010, 7303, 7177, 7530, 7308, 7219, 7030, 7419)",0.06481481481481481
95,"(3936, 3938, 3523, 3588, 3493, 4103, 3594, 3661, 3885, 3472, 3637)",0.07129997060552616
96,"(7169, 6830, 7150, 6803, 7188, 6870, 7128, 7101)",0.15072649572649574
97,"(5568, 5792, 5668, 5924, 5948, 5523, 5395, 5974, 5433, 5404, 5694)",0.09239505948263729
98,"(1733, 1734, 1735)",0.14228294853294854
99,"(6881, 7518, 6630, 7335, 7049, 6709, 6806, 6711, 7189, 7166)",0.0905349794238683
100,"(4922, 5204, 5047)",0.10362286890064668
101,"(4993, 5154, 4709, 4741, 4966, 4842, 4921, 5083, 4926)",0.05875220458553792
102,"(6348, 6397, 6399)",0.10493827160493827
103,"(3936, 3938)",0.11391227085671529
104,"(4514, 4291)",0.09063786008230452
105,"(494, 366, 311)",0.09411874935159248
106,"(1575, 1645, 1903, 1459, 1910)",0.07993827160493827
107,"(3136, 3364, 2982, 3335)",0.09620669056152927
108,"(2657, 2575)",0.0787037037037037
109,"(6653, 6615, 6853, 6087, 4009, 5949, 5804, 5933, 6285, 4338, 6071, 5434, 4795, 5213, 5567)",0.05555555555555555
110,"(5017, 5252, 5158)",0.09014550264550264
111,"(5568, 5379, 5668, 5159, 5433, 5257, 5674, 5395, 5273, 5404, 5598)",0.0883580412923517
112,"(1699, 1764, 1735, 1642, 1738, 1780, 1689)",0.1295654962321629
113,"(4993, 5154, 4741, 4966, 4921, 5083, 4926)",0.055298353909465026
114,"(4993, 5154, 4709, 4741, 4842, 4921, 5083, 4926)",0.0548206937095826
115,"(7753, 7789, 7718)",0.10118284493284493
116,"(5434, 5804, 5567)",0.08950617283950617
117,"(4192, 4337, 4497, 4309, 4373, 4185, 4222, 4121)",0.09320987654320988
118,"(5017, 5158)",0.0914021164021164
119,"(1903, 1910, 1575)",0.0724537037037037
120,"(3074, 3107, 3143, 3303, 3194, 3068, 3133)",0.0996946590083845
121,"(4451, 4580, 4373, 4470, 4086)",0.06127946127946128
122,"(1575, 1645, 1903, 1488, 1459, 1910)",0.07037037037037037
123,"(3216, 3114, 3126, 2927)",0.05185185185185185
124,"(3074, 3107, 3143, 3068, 3133)",0.09980877873034737
125,"(1644, 1741, 1880, 1721, 1724)",0.09002085877085877
126,"(6087, 5933, 6071, 6615, 5949)",0.062037037037037036
127,"(2400, 2240, 2695, 2192, 2612, 2517, 2075)",0.05923202614379085
128,"(2017, 1699, 1829, 1449, 1738, 1644, 1580, 1741, 1937, 1780, 1880, 2075, 1724)",0.07256393298059964
129,"(7753, 7718)",0.08920261836928503
130,"(6240, 6273, 6124, 6220, 6385, 6451, 6548, 6517, 6198)",0.08014857177438878
131,"(768, 1125, 839, 937, 1036, 845, 1132, 1044, 1109, 858, 763)",0.04732736399403067
132,"(544, 203, 268, 397, 463, 443, 8223)",0.07615740740740741
133,"(6604, 6348, 6437, 6502)",0.04691358024691358
134,"(568, 496, 563, 504, 766)",0.06280864197530864
135,"(2691, 3114, 2927, 3216, 3126)",0.0462962962962963
136,"(2240, 2691, 2503, 2695, 2250, 2192, 2612, 2075)",0.07480353252412075
137,"(4840, 4819)",0.09199134199134198
138,"(5017, 5252, 5084, 5158)",0.06111111111111111
139,"(768, 1125, 550, 839, 937, 1036, 845, 1132, 1044, 1109, 730, 763, 858)",0.045574795574795574
140,"(4579, 4701, 3237, 3880, 3403, 3916, 3213, 3886, 2995, 3507, 4087, 3670, 3639, 3385, 4123, 4221, 4446)",0.05597643097643097
141,"(7616, 7753, 7789, 7718)",0.08396079229412562
142,"(4451, 4109, 4373, 4470, 4247)",0.08232323232323233
143,"(195, 138, 305, 244, 149)",0.07281746031746032
144,"(1724, 1699, 1730, 1829, 1449, 1642, 1738, 1580, 1644, 1937, 1428, 1780, 1462, 1880, 1436)",0.07648979107312441
145,"(835, 744, 712, 656, 594, 735)",0.06740944240944241
146,"(5804, 5434, 7994, 5213, 5567)",0.07469135802469136
147,"(7877, 8137, 7665, 7379, 7450)",0.04398148148148148
148,"(34, 550, 13, 305, 7953, 149, 7958)",0.06159188034188034
149,"(2240, 2612, 2517, 2695)",0.04823179271708684
150,"(7514, 7631)",0.08029100529100529
151,"(544, 8133, 268, 397, 463, 8146, 8084, 8024, 443, 8223)",0.04894179894179894
152,"(6273, 6180, 6385, 6451, 6548, 6517)",0.07884635335615728
153,"(4451, 4501, 4373, 4470, 4247)",0.07895622895622896
154,"(656, 744, 835, 735)",0.057285307285307285
155,"(115, 19, 152, 198)",0.08029878618113911
156,"(6240, 6220)",0.08308693847909535
157,"(2192, 2250)",0.0761165577342048
158,"(2192, 2250, 2400, 2503)",0.058483115468409584
159,"(1569, 1859, 1572, 1900, 1615, 1680, 1712, 1809, 1524, 1564, 1823)",0.04089506172839506
160,"(6087, 5933, 6071, 5949, 5982)",0.06388888888888888
